标题,房型,面积,层高,年代,价格,地址
居家一房一厅 成熟配套 位置安静 急售有钥匙 诚意出售 好看,1室1厅,35m--,高层(共6层),1987年建造,205,港机新村----浦东-南码头-华丰路
法式小高层，南北通透户型方正，一梯一户，随时看，送车位,3室2厅,200m--,共12层,2012年建造,1900,保利西岸----徐汇-滨江-瑞宁路908弄
嘉兴市中心+万达广场旁+豪华装修+地鉄2号线口+首付23万。,2室2厅,75m--,中层(共26层),2016年建造,75,广益大厦----上海周边-嘉兴-亚欧路465号
万科假日风景(公寓) 95.03平米 650.00万元,2室2厅,95m--,中层(共9层),2006年建造,660,假日风景(春申万科城公寓)----闵行-春申-畹町路99弄
近地铁 双南户型 3楼 超高得房率两房一厅 真盘实价 随时看,2室1厅,65m--,中层(共6层),1990年建造,332,临汾路1060弄小区----闸北-彭浦-临汾路1060弄
康桥月苑 南北通透房型，小区央位，动迁满五年税费少 有钥匙,1室2厅,58m--,高层(共6层),2010年建造,240,康桥月苑(38弄)----浦东-康桥-康佳路38弄1-79号
嘉兴海盐一手品质住宅，精装修拎包入住，临山水六旗配套成熟,4室2厅,128m--,中层(共11层),2017年建造,135,"优优滨海----上海周边-嘉兴-盐北路,近滨海大道"
至上的客户，及时通知你，南北房型，超高性价比318万，满两年,2室2厅,88m--,中层(共18层),2015年建造,318,虹桥宝龙城(1600弄)----青浦-华新-新府中路1600弄
华高一村新出两房精装修满五唯一南北通透送车位急售,2室1厅,78m--,中层(共6层),1998年建造,350,华高一村----浦东-金桥-巨峰路995弄
火热公寓，挑高5.5，一层当两层，超高得房率，旁边就是商场,2室1厅,29m--,低层(共10层),2012年建造,109,中天精英公寓----普陀-曹杨-中江路943号
地铁两房采光好，景观房低于市场20万诚意出售,2室2厅,75m--,中层(共17层),2011年建造,315,浦江馨都----闵行-浦江-先新路1058弄
刚刚挂牌，小区中心位置！低于市场价35万，急抛降价急售！急售,2室1厅,60m--,中层(共6层),1998年建造,285,永和一村----闸北-阳城永和-汶水路649弄
此房急售        双南两房        看房点击查看,2室1厅,66m--,高层(共6层),1996年建造,380,古美西路420弄小区----闵行-古美罗阳-古美西路420弄
电梯两房，中间楼层，全明。有钥匙,2室2厅,105m--,中层(共24层),2002年建造,480,长岛花苑----浦东-金桥-长岛路1560弄
高区景观房 南北视野都很开阔 精装修自住 不靠马路,2室2厅,90m--,高层(共32层),2011年建造,530,华沁家园----徐汇-植物园-龙吴路1343弄
新天地荻泾花园 厨卫全明 小区景观位置 周边配套成熟！,2室2厅,74m--,中层(共12层),2006年建造,305,新天地荻泾花园----宝山-顾村-沙浦路311弄
3室2厅，光线非常好，满五省税费，人气房源,3室2厅,149m--,高层(共38层),2014年建造,1480,凯欣豪园----长宁-中山公园-汇川路88弄
